step	semantic_branch_name	runtime_name	env_name	should_we_do_it
UPDATE_DOCUMENTATION	main	ci	devops	
UPDATE_DOCUMENTATION	main	ci	sbx	
UPDATE_DOCUMENTATION	main	ci	tst	
UPDATE_DOCUMENTATION	main	ci	stg	
UPDATE_DOCUMENTATION	main	ci	prd	
UPDATE_DOCUMENTATION	feature	local	devops	
UPDATE_DOCUMENTATION	feature	local	sbx	
UPDATE_DOCUMENTATION	feature	local	tst	
UPDATE_DOCUMENTATION	feature	local	stg	
UPDATE_DOCUMENTATION	feature	local	prd	
UPDATE_DOCUMENTATION	feature	ci	devops	
UPDATE_DOCUMENTATION	feature	ci	sbx	
UPDATE_DOCUMENTATION	feature	ci	tst	
UPDATE_DOCUMENTATION	feature	ci	stg	
UPDATE_DOCUMENTATION	feature	ci	prd	
UPDATE_DOCUMENTATION	fix	local	devops	
UPDATE_DOCUMENTATION	fix	local	sbx	
UPDATE_DOCUMENTATION	fix	local	tst	
UPDATE_DOCUMENTATION	fix	local	stg	
UPDATE_DOCUMENTATION	fix	local	prd	
UPDATE_DOCUMENTATION	fix	ci	devops	
UPDATE_DOCUMENTATION	fix	ci	sbx	
UPDATE_DOCUMENTATION	fix	ci	tst	
UPDATE_DOCUMENTATION	fix	ci	stg	
UPDATE_DOCUMENTATION	fix	ci	prd	
UPDATE_DOCUMENTATION	doc	local	devops	
UPDATE_DOCUMENTATION	doc	local	sbx	
UPDATE_DOCUMENTATION	doc	local	tst	
UPDATE_DOCUMENTATION	doc	local	stg	
UPDATE_DOCUMENTATION	doc	local	prd	
UPDATE_DOCUMENTATION	doc	ci	devops	
UPDATE_DOCUMENTATION	doc	ci	sbx	
UPDATE_DOCUMENTATION	doc	ci	tst	
UPDATE_DOCUMENTATION	doc	ci	stg	
UPDATE_DOCUMENTATION	doc	ci	prd	
UPDATE_DOCUMENTATION	app	local	devops	
UPDATE_DOCUMENTATION	app	local	sbx	
UPDATE_DOCUMENTATION	app	local	tst	
